"","agent","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","prev_std","load_std","Stock","plot.agent"
"441","pa_min",1324,"Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,26,12,0.461538461538462,89.4698225965,41.2937642753077,-0.492809171298743,-0.241304084545228,"Chilko","P. minibicornis"
"442","pa_min",1325,"Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,62,33,0.532258064516129,263868.673314088,140446.229344595,-0.233860275960156,-0.181254733380337,"Chilko","P. minibicornis"
"443","pa_min",1326,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,74,10,0.135135135135135,3466.0024105472,468.378704128,-1.68797680867467,-0.240535416703299,"Chilko","P. minibicornis"
"444","pa_min",1327,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,31,18,0.580645161290323,24939.6163658031,14481.0675672405,-0.0566847159916465,-0.235646947225378,"Chilko","P. minibicornis"
"445","pa_min",1328,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,510,179,0.350980392156863,75655.7579228999,26553.6875847041,-0.89763172023433,-0.224101414621673,"Chilko","P. minibicornis"
"446","pa_min",1329,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,51,13,0.254901960784314,2146.14667500023,547.056995588294,-1.24943521774043,-0.240835881939003,"Chilko","P. minibicornis"
"447","pa_min",1330,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,72,66,0.916666666666667,1009487.12345693,925363.196502186,1.17370111712299,-0.0115146494199517,"Chilko","P. minibicornis"
"448","pa_min",1331,"Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,11,0.55,21688.7413725791,11928.8077549185,-0.168895903971703,-0.236387009108489,"Chilko","P. minibicornis"
"449","pa_min",1332,"Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,12,1,0.0833333333333333,8.482506257,0.706875521416667,-1.87765574900131,-0.241322521312549,"Chilko","P. minibicornis"
"450","pa_min",1333,"Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,6,0.5,24141924.8992663,12070962.4496331,-0.351977315939161,5.25458616866208,"Chilko","P. minibicornis"
"451","pa_min",1338,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,15,8,0.533333333333333,1273.0108027205,678.939094784267,-0.22992304129419,-0.241034651371601,"Gates","P. minibicornis"
"452","pa_min",1344,"Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,24,14,0.583333333333333,346.204616979857,201.95269323825,-0.0468416293267318,-0.241245638854211,"Nadina","P. minibicornis"
"453","pa_min",1350,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,45,39,0.866666666666667,56452.1569328736,48925.2026751571,0.990619705155535,-0.228473115514756,"Pitt","P. minibicornis"
"454","pa_min",1351,"Pitt",2014,1793,2012,"SR_cov_resid",0.156150326932456,13,12,0.923076923076923,27762.4271148031,25626.8557982798,1.19717309301626,-0.235004334192603,"Pitt","P. minibicornis"
"455","pa_min",1352,"Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,32,31,0.96875,302358.120754633,292909.429481051,1.36441092125576,-0.17249260841026,"Pitt","P. minibicornis"
"456","pa_min",1358,"Quesnel",2011,1920,2009,"SR_cov_resid",-0.394221253181931,19,4,0.210526315789474,45.4328217805,9.56480458536842,-1.41192233259287,-0.24131410957105,"Quesnel","P. minibicornis"
"457","pa_min",1359,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,18,12,0.666666666666667,12330.7086370788,8220.47242471922,0.258294057285701,-0.238517365810262,"Quesnel","P. minibicornis"
"458","pa_min",1360,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,38,12,0.315789473684211,6530.64113622317,2062.30772722837,-1.02648778108243,-0.239837751517433,"Quesnel","P. minibicornis"
"459","pa_min",1361,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,158,148,0.936708860759494,2377755.89618467,2227265.01667931,1.24708818099181,0.299971817041128,"Quesnel","P. minibicornis"
"460","pa_min",1362,"Quesnel",2016,1925,2014,"SR_cov_resid",0.626351354981836,32,18,0.5625,81728.1266972248,45972.0712671889,-0.123125550979838,-0.222719039513607,"Quesnel","P. minibicornis"
"461","pa_min",1369,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,28,14,0.5,375473.258130616,187736.629065308,-0.351977315939161,-0.155847943093036,"Scotch","P. minibicornis"
"462","pa_min",1373,"Scotch",2016,2043,2014,"SR_cov_resid",1.03152074279853,12,11,0.916666666666667,54587.8712596454,50038.8819880083,1.17370111712299,-0.228897520257744,"Scotch","P. minibicornis"
"463","pa_min",1378,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,24,13,0.541666666666667,1376.21989096708,745.4524409405,-0.199409472632945,-0.241011155816601,"Seymour","P. minibicornis"
"464","pa_min",1379,"Seymour",2013,2107,2011,"SR_cov_resid",0.461501545221233,37,18,0.486486486486487,995.075295878056,484.090684481216,-0.401458778633067,-0.241097923406056,"Seymour","P. minibicornis"
"465","pa_min",1380,"Seymour",2015,2109,2013,"SR_cov_resid",-2.09607030824499,42,42,1,815408.415195709,815408.415195709,1.47883680373542,-0.0556966787526107,"Seymour","P. minibicornis"
"466","pa_min",1386,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,32,13,0.40625,377.788348343077,153.476516514375,-0.695254963378146,-0.241238448815911,"Stellako","P. minibicornis"
"467","pa_min",1387,"Stellako",2014,2175,2012,"SR_cov_resid",-2.60983882500887,14,5,0.357142857142857,5410.1626391596,1932.200942557,-0.875067064417614,-0.240092828513088,"Stellako","P. minibicornis"
"468","pa_min",1388,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,12,11,0.916666666666667,1588323.32762754,1455963.05032525,1.17370111712299,0.120257446450809,"Stellako","P. minibicornis"
"469","pa_pse",1399,"Birkenhead",2013,1177,2011,"SR_cov_resid",-0.493983139331974,23,1,0.0434782608695652,0.023517144,0.00102248452173913,-0.816998500011796,-0.345047090436706,"Birkenhead","P. pseudobranchicola"
"470","pa_pse",1401,"Birkenhead",2015,1179,2013,"SR_cov_resid",-0.754015824843491,17,0,0,NA,NA,-1.30812902659493,NA,"Birkenhead","P. pseudobranchicola"
"471","pa_pse",1406,"Chilko",2009,1307,2007,"SR_cov_resid",-0.164515041914484,26,9,0.346153846153846,13257.6994517922,4589.20365638961,2.60202555043236,4.24125489681104,"Chilko","P. pseudobranchicola"
"472","pa_pse",1407,"Chilko",2010,1308,2008,"SR_cov_resid",-0.261094571360216,62,5,0.0806451612903226,19.9430417372,1.60830981751613,-0.397161114384274,-0.338156217882787,"Chilko","P. pseudobranchicola"
"473","pa_pse",1408,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,74,9,0.121621621621622,9.79795513755555,1.19164319240541,0.0657090680362819,-0.341665764432431,"Chilko","P. pseudobranchicola"
"474","pa_pse",1409,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,31,4,0.129032258064516,29.736251706,3.836935704,0.14941963294212,-0.334768397984123,"Chilko","P. pseudobranchicola"
"475","pa_pse",1410,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,510,54,0.105882352941176,34.7006719100741,3.67418879047843,-0.11208174421012,-0.333051028336553,"Chilko","P. pseudobranchicola"
"476","pa_pse",1411,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,51,9,0.176470588235294,439.058253195667,77.480868211,0.685283110713097,-0.193169348640177,"Chilko","P. pseudobranchicola"
"477","pa_pse",1412,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,72,8,0.111111111111111,50.72706751475,5.63634083497222,-0.0530176808824705,-0.327506927668196,"Chilko","P. pseudobranchicola"
"478","pa_pse",1413,"Chilko",2016,1314,2014,"SR_cov_resid",0.658775634082524,20,5,0.25,7186.847955746,1796.7119889365,1.51587150125811,2.14113128405647,"Chilko","P. pseudobranchicola"
"479","pa_pse",1414,"Chilko",2017,1315,2015,"SR_cov_resid",-1.67763415630698,12,2,0.166666666666667,329.088487367,54.8480812278333,0.574537991973767,-0.231211804802428,"Chilko","P. pseudobranchicola"
"480","pa_pse",1415,"Chilko",2018,1316,2016,"SR_cov_resid",-2.54325003204444,12,1,0.0833333333333333,176.836852,14.7364043333333,-0.366795517310586,-0.283881064579739,"Chilko","P. pseudobranchicola"
"481","pa_pse",1420,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,15,2,0.133333333333333,24.9070783005,3.3209437734,0.19800458826002,-0.336438980950216,"Gates","P. pseudobranchicola"
"482","pa_pse",1426,"Nadina",2014,1726,2012,"SR_cov_resid",-0.822405912433752,24,2,0.0833333333333333,30.103510132,2.50862584433333,-0.366795517310586,-0.334641350222712,"Nadina","P. pseudobranchicola"
"483","pa_pse",1432,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,45,3,0.0666666666666667,86.3030044616667,5.75353363077778,-0.555062219167455,-0.315199944821268,"Pitt","P. pseudobranchicola"
"484","pa_pse",1433,"Pitt",2014,1793,2012,"SR_cov_resid",0.156150326932456,13,0,0,NA,NA,-1.30812902659493,NA,"Pitt","P. pseudobranchicola"
"485","pa_pse",1434,"Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,32,1,0.03125,23.57856231,0.7368300721875,-0.955128960613304,-0.336898561917299,"Pitt","P. pseudobranchicola"
"486","pa_pse",1440,"Quesnel",2011,1920,2009,"SR_cov_resid",-0.394221253181931,19,3,0.157894736842105,2.41123940666667,0.380722011578947,0.475450254154355,-0.344221092319672,"Quesnel","P. pseudobranchicola"
"487","pa_pse",1441,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,18,4,0.222222222222222,381.1650799595,84.7033511021111,1.20209366482999,-0.21319665785862,"Quesnel","P. pseudobranchicola"
