"","V1","V2","V3"
"b[prev_std Stock:Raft]","1.00015720767102","fl_psy","Rhat"
"b[(Intercept) Stock:Scotch]","0.999378402940263","fl_psy","Rhat"
"b[prev_std Stock:Scotch]","1.00056350314782","fl_psy","Rhat"
"b[(Intercept) Stock:Seymour]","1.00055606523365","fl_psy","Rhat"
"b[prev_std Stock:Seymour]","0.999633921000256","fl_psy","Rhat"
"b[(Intercept) Stock:Stellako]","0.999379972074432","fl_psy","Rhat"
"b[prev_std Stock:Stellako]","1.000056250776","fl_psy","Rhat"
"b[(Intercept) Stock:Weaver]","0.99935319576155","fl_psy","Rhat"
"b[prev_std Stock:Weaver]","1.00054341268364","fl_psy","Rhat"
"b[(Intercept) Year:2008]","0.999752787207896","fl_psy","Rhat"
"b[(Intercept) Year:2009]","0.999924598237976","fl_psy","Rhat"
"b[(Intercept) Year:2010]","0.999271958949812","fl_psy","Rhat"
"b[(Intercept) Year:2011]","1.00058438677443","fl_psy","Rhat"
"b[(Intercept) Year:2012]","0.999366469037049","fl_psy","Rhat"
"b[(Intercept) Year:2013]","1.00095842802313","fl_psy","Rhat"
"b[(Intercept) Year:2014]","1.00004783266079","fl_psy","Rhat"
"b[(Intercept) Year:2015]","0.999744953286426","fl_psy","Rhat"
"b[(Intercept) Year:2016]","0.999729008329304","fl_psy","Rhat"
"b[(Intercept) Year:2017]","1.00108449878658","fl_psy","Rhat"
"b[(Intercept) Year:2018]","0.99988413917919","fl_psy","Rhat"
"sigma","0.999602409026561","fl_psy","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.0001561042762","fl_psy","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00003711572097","fl_psy","Rhat"
"Sigma[Stock:prev_std,prev_std]","0.999889169923942","fl_psy","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00241314455222","fl_psy","Rhat"
"mean_PPD","1.00081998430472","fl_psy","Rhat"
"log-posterior","0.999775046115417","fl_psy","Rhat"
"prev_std","1.00191225911302","ic_hof","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999828793760422","ic_hof","Rhat"
"b[prev_std Stock:Birkenhead]","1.00192490884676","ic_hof","Rhat"
"b[(Intercept) Stock:Bowron]","1.00079650997542","ic_hof","Rhat"
"b[prev_std Stock:Bowron]","0.999580229356229","ic_hof","Rhat"
"b[(Intercept) Stock:Chilko]","0.999507538340963","ic_hof","Rhat"
"b[prev_std Stock:Chilko]","0.999619917269818","ic_hof","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999406920073032","ic_hof","Rhat"
"b[prev_std Stock:E.Stuart]","0.999979559589715","ic_hof","Rhat"
"b[(Intercept) Stock:Gates]","1.00071539636309","ic_hof","Rhat"
"b[prev_std Stock:Gates]","1.00088627696964","ic_hof","Rhat"
"b[(Intercept) Stock:Harrison]","0.999642952707923","ic_hof","Rhat"
"b[prev_std Stock:Harrison]","0.999182820809421","ic_hof","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999843211802632","ic_hof","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00233737706453","ic_hof","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999851434650345","ic_hof","Rhat"
"b[prev_std Stock:L.Stuart]","0.999564643438136","ic_hof","Rhat"
"b[(Intercept) Stock:Nadina]","0.999424361801817","ic_hof","Rhat"
"b[prev_std Stock:Nadina]","0.999874952908472","ic_hof","Rhat"
"b[(Intercept) Stock:Pitt]","0.999260004369051","ic_hof","Rhat"
"b[prev_std Stock:Pitt]","1.00010770469725","ic_hof","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999928610045309","ic_hof","Rhat"
"b[prev_std Stock:Quesnel]","0.999789833631437","ic_hof","Rhat"
"b[(Intercept) Stock:Raft]","1.0006186192808","ic_hof","Rhat"
"b[prev_std Stock:Raft]","1.00016810873912","ic_hof","Rhat"
"b[(Intercept) Stock:Scotch]","0.999701382797415","ic_hof","Rhat"
"b[prev_std Stock:Scotch]","0.99936316278489","ic_hof","Rhat"
"b[(Intercept) Stock:Seymour]","0.999313124736871","ic_hof","Rhat"
"b[prev_std Stock:Seymour]","0.999473852652651","ic_hof","Rhat"
"b[(Intercept) Stock:Stellako]","1.00114494449427","ic_hof","Rhat"
