"","V1","V2","V3"
"b[(Intercept) Year:2015]","1561","pspv","Neff"
"b[(Intercept) Year:2016]","1965","pspv","Neff"
"sigma","1157","pspv","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1173","pspv","Neff"
"Sigma[Stock:load_std,(Intercept)]","2118","pspv","Neff"
"Sigma[Stock:load_std,load_std]","1502","pspv","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1776","pspv","Neff"
"mean_PPD","5016","pspv","Neff"
"log-posterior","696","pspv","Neff"
"load_std","2660","pa_kab","Neff"
"sst_anom","2548","pa_kab","Neff"
"b[(Intercept) Stock:Birkenhead]","3188","pa_kab","Neff"
"b[load_std Stock:Birkenhead]","4415","pa_kab","Neff"
"b[(Intercept) Stock:Chilko]","1908","pa_kab","Neff"
"b[load_std Stock:Chilko]","2623","pa_kab","Neff"
"b[(Intercept) Stock:E.Stuart]","5872","pa_kab","Neff"
"b[load_std Stock:E.Stuart]","3996","pa_kab","Neff"
"b[(Intercept) Stock:Gates]","1829","pa_kab","Neff"
"b[load_std Stock:Gates]","3511","pa_kab","Neff"
"b[(Intercept) Stock:Harrison]","3846","pa_kab","Neff"
"b[load_std Stock:Harrison]","5012","pa_kab","Neff"
"b[(Intercept) Stock:L.Shuswap]","3200","pa_kab","Neff"
"b[load_std Stock:L.Shuswap]","3104","pa_kab","Neff"
"b[(Intercept) Stock:L.Stuart]","4801","pa_kab","Neff"
"b[load_std Stock:L.Stuart]","4066","pa_kab","Neff"
"b[(Intercept) Stock:Nadina]","5067","pa_kab","Neff"
"b[load_std Stock:Nadina]","4835","pa_kab","Neff"
"b[(Intercept) Stock:Pitt]","3741","pa_kab","Neff"
"b[load_std Stock:Pitt]","3848","pa_kab","Neff"
"b[(Intercept) Stock:Quesnel]","3155","pa_kab","Neff"
"b[load_std Stock:Quesnel]","4960","pa_kab","Neff"
"b[(Intercept) Stock:Scotch]","6252","pa_kab","Neff"
"b[load_std Stock:Scotch]","4443","pa_kab","Neff"
"b[(Intercept) Stock:Seymour]","3018","pa_kab","Neff"
"b[load_std Stock:Seymour]","4359","pa_kab","Neff"
"b[(Intercept) Stock:Stellako]","4177","pa_kab","Neff"
"b[load_std Stock:Stellako]","3869","pa_kab","Neff"
"b[(Intercept) Stock:Weaver]","3836","pa_kab","Neff"
"b[load_std Stock:Weaver]","3398","pa_kab","Neff"
"b[(Intercept) Year:2009]","5167","pa_kab","Neff"
"b[(Intercept) Year:2010]","3767","pa_kab","Neff"
"b[(Intercept) Year:2011]","6177","pa_kab","Neff"
"b[(Intercept) Year:2012]","5734","pa_kab","Neff"
"b[(Intercept) Year:2013]","3316","pa_kab","Neff"
"b[(Intercept) Year:2014]","3988","pa_kab","Neff"
"b[(Intercept) Year:2015]","2547","pa_kab","Neff"
"b[(Intercept) Year:2016]","2434","pa_kab","Neff"
"sigma","1613","pa_kab","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1758","pa_kab","Neff"
"Sigma[Stock:load_std,(Intercept)]","2662","pa_kab","Neff"
"Sigma[Stock:load_std,load_std]","2641","pa_kab","Neff"
"Sigma[Year:(Intercept),(Intercept)]","2101","pa_kab","Neff"
"mean_PPD","4358","pa_kab","Neff"
"log-posterior","573","pa_kab","Neff"
"load_std","2971","sch","Neff"
"sst_anom","2761","sch","Neff"
"b[(Intercept) Stock:Birkenhead]","5451","sch","Neff"
"b[load_std Stock:Birkenhead]","4173","sch","Neff"
"b[(Intercept) Stock:Bowron]","5786","sch","Neff"
"b[load_std Stock:Bowron]","3356","sch","Neff"
"b[(Intercept) Stock:Chilko]","1642","sch","Neff"
"b[load_std Stock:Chilko]","3818","sch","Neff"
"b[(Intercept) Stock:E.Stuart]","2835","sch","Neff"
