"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","early_sst_stnd"
1994,6,"Quesnel",659505,"356301.3487","",16753374.46,0,0,248,0,2263471,0,0,212902,470,0,0,2476843,2477091,NA,"0.91385324",356301.3487,1507468.604,3046,24861.312,1.9389631864579,0,0.999810261310545,0.000189738689454687,0.119677592111937,0.155019100869241
1995,6,"Quesnel",216110,"116914.169","",NA,0,0,0,0,119078,0,0,48228,0,0,0,167306,167306,NA,"0.711737774",116914.169,356301.3487,1507468.604,3046,0.358384403775303,0,1,0,1.07828784770654,1.71614303141792
1996,6,"Quesnel",42499,"21719.487","",NA,0,0,0,0,67906,0,0,19609,3175,0,0,90690,90690,NA,"0.748770537",21719.487,116914.169,356301.3487,1507468.604,1.4292372214572,0,0.964990627412063,0.0350093725879369,1.05237027800793,1.67393553567913
1997,6,"Quesnel",1858809,"904910.7118","",55546172,0,1589,79,0,4358762,0,0,318446,13897,0,0,4692694,4692773,NA,"0.928840022",904910.7118,21719.487,116914.169,356301.3487,1.64592583233588,0.000338605766782242,0.996700032155828,0.00296136207739006,-0.609490808391007,-1.03245227530436
1998,6,"Quesnel",1179252,"534621.2748","",42867369,0,0,56,0,4467804,0,0,272015,0,0,0,4739819,4739875,NA,"0.942610678",534621.2748,904910.7118,21719.487,116914.169,2.1821956296579,0,1,0,0.451975591847156,0.696175797694203
1999,6,"Quesnel",189360,"106951.3403","",15864028.86,0,0,0,0,581976,0,0,228610,0,0,0,810586,810586,NA,"0.717969469",106951.3403,534621.2748,904910.7118,21719.487,2.02538347541369,0,1,0,-0.320505543112472,-0.561831592321526
2000,6,"Quesnel",63782,"37161.4874","",5159686,0,0,0,0,38143,0,0,15667,0,0,0,53810,53810,NA,"0.708845939",37161.4874,106951.3403,534621.2748,904910.7118,0.370186383446089,0,1,0,-0.303752993532308,-0.534549591221846
2001,6,"Quesnel",3510976,"1740556.591","",65965060,0,4927,42,0,3576455,0,0,115416,4166,0,0,3700964,3701006,NA,"0.966357684",1740556.591,37161.4874,106951.3403,534621.2748,0.754388384295094,0.00133125966291327,0.997543100443501,0.00112563989358569,0.792558442176464,1.25082460817847
2002,6,"Quesnel",1022192,"438181.3019","",51300000,0,NA,38,NA,603583,NA,0,36207,437,NA,NA,640227,640265,NA,"0.942764051",438181.3019,1740556.591,37161.4874,106951.3403,0.379190044957909,NA,NA,NA,NA,NA
2003,6,"Quesnel",278990,"148358.9286","",10372264,0,NA,NA,NA,82424,NA,0,60604,848,NA,NA,143876,143876,NA,"0.572882204",148358.9286,438181.3019,1740556.591,37161.4874,-0.0306827134764975,NA,NA,NA,NA,NA
2004,6,"Quesnel",10264,"6627.6861","",1860000,0,NA,NA,164,6545,NA,0,5986.005542,0,NA,NA,12695.00554,12695.00554,NA,"0.515557081",6627.6861,148358.9286,438181.3019,1740556.591,0.649952912792196,NA,NA,NA,NA,NA
2005,6,"Quesnel",883678,"475025.2539","",51806108.29,NA,NA,NA,0,198054.9296,11.16666667,0,8058.725359,2659.948414,511.1306362,199.9263418,209484.6604,209495.827,NA,"0.945438818",475025.2539,6627.6861,148358.9286,438181.3019,-0.818717452092896,NA,NA,0.0137045279783544,NA,NA
2006,6,"Quesnel",169127,"90092.517","",15164301,NA,234.2115193,55.83333333,0,601269.0673,NA,0,47840.67565,0,0,0,649343.9545,649399.7878,NA,"0.92596391",90092.517,475025.2539,6627.6861,148358.9286,1.97512544343244,NA,0.999639341556511,NA,NA,NA
2007,6,"Quesnel",74715,"33609.0312","",NA,NA,0,21,0,72938.07841,0,0,647.8213394,15.34265313,0,0,73601.2424,73622.2424,NA,"0.990989772",33609.0312,90092.517,475025.2539,6627.6861,0.783867089460105,NA,0.999791603052286,0.00020839698207834,NA,NA
2008,6,"Quesnel",7091,"2472.1096","",NA,NA,0,0,0,727.3109584,0,0,6535.596751,306.7083151,0,0,7569.616024,7569.616024,NA,"0.096082939",2472.1096,33609.0312,90092.517,475025.2539,1.11907046759893,NA,0.959481654864981,0.0405183452010722,NA,NA
2009,6,"Quesnel",149467,"82781.7402","",NA,NA,0,19,137.1123299,296451.1873,0,0,21899.82965,0,0,0,318488.1292,318507.1292,NA,"0.93080765",82781.7402,2472.1096,33609.0312,90092.517,1.34737769527441,NA,0.99956951591525,0,NA,NA
2010,6,"Quesnel",246584,"131562.5212","",NA,NA,0,2958,0,2497658.575,46.33333333,0,30937.17705,127.9526521,0,0,2528723.704,2531728.038,NA,"0.987715095",131562.5212,82781.7402,2472.1096,33609.0312,2.95598780459741,NA,0.999931159292237,6.88407217576503e-05,NA,NA
2011,6,"Quesnel",45433,"16938.876","",NA,NA,0,30.66666667,0,35995.1431,0,0,4436.113298,0,0,0,40431.25639,40461.92306,NA,"0.890280103",16938.876,131562.5212,82781.7402,2472.1096,0.869991823663672,NA,1.00000000011542,0,NA,NA
2012,6,"Quesnel",624,"97.2378","",NA,NA,0,1,0,393.6756531,0,0,2284.550351,0,0,0,2678.226004,2679.226004,NA,"0.1469912",97.2378,16938.876,131562.5212,82781.7402,3.31575039076312,NA,1.00000000003732,0,NA,NA
2013,6,"Quesnel",179081,"93729.3403","",NA,NA,0,287,0,141418.2482,0,0,5198.57081,0,NA,NA,146616.819,146903.819,NA,"0.964543148",93729.3403,97.2378,16938.876,131562.5212,0.447411239588478,NA,NA,NA,NA,NA
