"","V1","V2","V3"
"b[(Intercept) Stock:Scotch]","1381","sch","Neff"
"b[load_std Stock:Scotch]","3903","sch","Neff"
"b[(Intercept) Stock:Seymour]","1280","sch","Neff"
"b[load_std Stock:Seymour]","4669","sch","Neff"
"b[(Intercept) Stock:Stellako]","1604","sch","Neff"
"b[load_std Stock:Stellako]","3349","sch","Neff"
"b[(Intercept) Stock:Weaver]","1842","sch","Neff"
"b[load_std Stock:Weaver]","2181","sch","Neff"
"b[(Intercept) Year:2009]","2185","sch","Neff"
"b[(Intercept) Year:2010]","1361","sch","Neff"
"b[(Intercept) Year:2011]","1020","sch","Neff"
"b[(Intercept) Year:2012]","1294","sch","Neff"
"b[(Intercept) Year:2013]","1542","sch","Neff"
"b[(Intercept) Year:2014]","1428","sch","Neff"
"b[(Intercept) Year:2015]","1055","sch","Neff"
"b[(Intercept) Year:2016]","1257","sch","Neff"
"sigma","1451","sch","Neff"
"Sigma[Stock:(Intercept),(Intercept)]","1370","sch","Neff"
"Sigma[Stock:load_std,(Intercept)]","2893","sch","Neff"
"Sigma[Stock:load_std,load_std]","2007","sch","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1766","sch","Neff"
"mean_PPD","3986","sch","Neff"
"log-posterior","807","sch","Neff"
"load_std","2149","pa_pse","Neff"
"b[(Intercept) Stock:Birkenhead]","3229","pa_pse","Neff"
"b[load_std Stock:Birkenhead]","4311","pa_pse","Neff"
"b[(Intercept) Stock:Bowron]","2826","pa_pse","Neff"
"b[load_std Stock:Bowron]","3886","pa_pse","Neff"
"b[(Intercept) Stock:Chilko]","2104","pa_pse","Neff"
"b[load_std Stock:Chilko]","2937","pa_pse","Neff"
"b[(Intercept) Stock:E.Stuart]","2794","pa_pse","Neff"
"b[load_std Stock:E.Stuart]","3161","pa_pse","Neff"
"b[(Intercept) Stock:Gates]","2555","pa_pse","Neff"
"b[load_std Stock:Gates]","3320","pa_pse","Neff"
"b[(Intercept) Stock:Harrison]","2443","pa_pse","Neff"
"b[load_std Stock:Harrison]","3098","pa_pse","Neff"
"b[(Intercept) Stock:L.Shuswap]","1961","pa_pse","Neff"
"b[load_std Stock:L.Shuswap]","1889","pa_pse","Neff"
"b[(Intercept) Stock:L.Stuart]","2376","pa_pse","Neff"
"b[load_std Stock:L.Stuart]","3652","pa_pse","Neff"
"b[(Intercept) Stock:Nadina]","2901","pa_pse","Neff"
"b[load_std Stock:Nadina]","3555","pa_pse","Neff"
"b[(Intercept) Stock:Pitt]","2802","pa_pse","Neff"
"b[load_std Stock:Pitt]","2756","pa_pse","Neff"
"b[(Intercept) Stock:Portage]","2550","pa_pse","Neff"
"b[load_std Stock:Portage]","3207","pa_pse","Neff"
"b[(Intercept) Stock:Quesnel]","1940","pa_pse","Neff"
"b[load_std Stock:Quesnel]","2631","pa_pse","Neff"
"b[(Intercept) Stock:Raft]","2976","pa_pse","Neff"
"b[load_std Stock:Raft]","4007","pa_pse","Neff"
"b[(Intercept) Stock:Scotch]","2163","pa_pse","Neff"
"b[load_std Stock:Scotch]","2671","pa_pse","Neff"
"b[(Intercept) Stock:Seymour]","2303","pa_pse","Neff"
"b[load_std Stock:Seymour]","3382","pa_pse","Neff"
"b[(Intercept) Stock:Stellako]","2585","pa_pse","Neff"
"b[load_std Stock:Stellako]","4426","pa_pse","Neff"
"b[(Intercept) Stock:Weaver]","3313","pa_pse","Neff"
"b[load_std Stock:Weaver]","3218","pa_pse","Neff"
