"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","N+","prev","mean_load","prevload","agent"
"155","Quesnel",2010,780,2008,"SR_resid",-1.46510055265989,5,2,0.4,530.105412905,NA,"c_b_cys"
"156","Quesnel",2011,781,2009,"SR_resid",-1.28592345329045,15,12,0.8,10295.7332422167,NA,"c_b_cys"
"157","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,13,13,1,52753.4351084945,0,"c_b_cys"
"158","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,38,36,0.947368421052632,8766.1295722978,0,"c_b_cys"
"159","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,158,148,0.936708860759494,21799.2434842631,0,"c_b_cys"
"160","Quesnel",2016,786,2014,"SR_resid",-0.611307154952856,32,32,1,45056.6993443281,NA,"c_b_cys"
"161","Raft",2010,845,2008,"SR_resid",-0.506234743025431,1,1,1,355.7702558,NA,"c_b_cys"
"162","Raft",2012,847,2010,"SR_resid",0.854522107492757,1,1,1,8738.971277,0,"c_b_cys"
"163","Raft",2014,849,2012,"SR_resid",0.327180676648054,1,0,0,NA,NA,"c_b_cys"
"164","Scotch",2009,893,2007,"SR_resid",0.163596172132937,1,1,1,89605.65711,NA,"c_b_cys"
"165","Scotch",2010,894,2008,"SR_resid",1.25070295794196,2,2,1,14635.114926,NA,"c_b_cys"
"166","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,20,20,1,14384.2356077919,0,"c_b_cys"
"167","Scotch",2013,897,2011,"SR_resid",-2.09683103258795,5,5,1,15534.003745108,0,"c_b_cys"
"168","Scotch",2014,898,2012,"SR_resid",-0.836006917179086,2,2,1,18245.977505,NA,"c_b_cys"
"169","Scotch",2015,899,2013,"SR_resid",-2.13290651177583,8,8,1,14400.6815113887,NA,"c_b_cys"
"170","Scotch",2016,900,2014,"SR_resid",-0.513879926350833,12,12,1,279656.0414765,NA,"c_b_cys"
"171","Seymour",2009,958,2007,"SR_resid",-0.993664555476909,5,4,0.8,541026.888776725,NA,"c_b_cys"
"172","Seymour",2010,959,2008,"SR_resid",-0.0984924261895054,1,1,1,24997.97331,NA,"c_b_cys"
"173","Seymour",2011,960,2009,"SR_resid",0.469168333433819,6,5,0.833333333333333,78320.6246065,NA,"c_b_cys"
"174","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,24,24,1,49978.7595077148,0,"c_b_cys"
"175","Seymour",2013,962,2011,"SR_resid",-1.60755231711188,36,35,0.972222222222222,37640.2568101294,0,"c_b_cys"
"176","Seymour",2015,964,2013,"SR_resid",-2.77343945717353,42,40,0.952380952380952,35114.1561848707,0,"c_b_cys"
"177","Seymour",2016,965,2014,"SR_resid",-0.0275262787415462,3,3,1,23339.5137056667,NA,"c_b_cys"
"178","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,4,4,1,6739.929796856,NA,"c_b_cys"
"179","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,1,1,1,90.64033146,0,"c_b_cys"
"180","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,32,28,0.875,26072.8686408114,0,"c_b_cys"
"181","Stellako",2014,1028,2012,"SR_resid",-2.48491499670085,14,12,0.857142857142857,12391.9995547408,0,"c_b_cys"
"182","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,12,11,0.916666666666667,26423.8095544227,0,"c_b_cys"
"183","Weaver",2010,1073,2008,"SR_resid",1.41003200026509,1,1,1,160207.0407,NA,"c_b_cys"
"184","Weaver",2011,1074,2009,"SR_resid",0.212005447154897,3,3,1,6544.37981393333,NA,"c_b_cys"
"185","Weaver",2012,1075,2010,"SR_resid",-0.63038571679581,1,1,1,198.8713323,0,"c_b_cys"
"186","Weaver",2015,1078,2013,"SR_resid",-0.520865185760699,4,2,0.5,5935.7184025,NA,"c_b_cys"
"187","Birkenhead",2009,58,2007,"SR_resid",-0.298008117783879,4,0,0,NA,NA,"ce_sha"
"188","Birkenhead",2010,59,2008,"SR_resid",-0.100769117868461,2,0,0,NA,NA,"ce_sha"
"189","Birkenhead",2011,60,2009,"SR_resid",-0.650991216116703,5,0,0,NA,NA,"ce_sha"
"190","Birkenhead",2012,61,2010,"SR_resid",-2.19758782887751,1,1,1,309.6977838,309.6977838,"ce_sha"
"191","Birkenhead",2013,62,2011,"SR_resid",-1.26683925767625,23,6,0.260869565217391,383.9813936715,100.169059218652,"ce_sha"
"192","Birkenhead",2014,63,2012,"SR_resid",-0.276079279263662,4,0,0,NA,NA,"ce_sha"
"193","Birkenhead",2015,64,2013,"SR_resid",-1.81034600909588,17,3,0.176470588235294,608.616310266667,107.402878282353,"ce_sha"
"194","Bowron",2013,127,2011,"SR_resid",-1.27851295637267,7,0,0,NA,NA,"ce_sha"
"195","Bowron",2014,128,2012,"SR_resid",-0.448958264229366,1,0,0,NA,NA,"ce_sha"
"196","Chilko",2010,189,2008,"SR_resid",-0.434265073932136,15,1,0.0666666666666667,10.20342537,0.680228358,"ce_sha"
"197","Chilko",2011,190,2009,"SR_resid",0.38529783723828,62,0,0,NA,NA,"ce_sha"
