"","Stock_Analysis","Year","N","posdet","prev","mean_load","prevload","agent"
"373","Gates",2009,1,0,0,NA,NA,"ascv"
"374","Gates",2010,1,0,0,NA,NA,"ascv"
"375","Gates",2011,4,0,0,NA,NA,"ascv"
"376","Gates",2012,0,0,NA,NA,NA,"ascv"
"377","Gates",2013,2,0,0,NA,NA,"ascv"
"378","Gates",2014,8,0,0,NA,NA,"ascv"
"379","Gates",2015,4,0,0,NA,NA,"ascv"
"380","Harrison-Lillooet",2013,0,0,NA,NA,NA,"ascv"
"381","Harrison-Lillooet",2014,1,0,0,NA,NA,"ascv"
"382","Harrison-Widgeon",2009,1,0,0,NA,NA,"ascv"
"383","Harrison-Widgeon",2010,44,0,0,NA,NA,"ascv"
"384","Harrison-Widgeon",2011,8,0,0,NA,NA,"ascv"
"385","Harrison-Widgeon",2013,0,0,NA,NA,NA,"ascv"
"386","Harrison-Widgeon",2014,1,0,0,NA,NA,"ascv"
"387","Harrison-Widgeon",2015,5,0,0,NA,NA,"ascv"
"388","Late Shuswap",2008,0,0,NA,NA,NA,"ascv"
"389","Late Shuswap",2009,5,0,0,NA,NA,"ascv"
"390","Late Shuswap",2010,4,0,0,NA,NA,"ascv"
"391","Late Shuswap",2011,17,0,0,NA,NA,"ascv"
"392","Late Shuswap",2012,6,0,0,NA,NA,"ascv"
"393","Late Shuswap",2013,1,0,0,NA,NA,"ascv"
"394","Late Shuswap",2014,1,0,0,NA,NA,"ascv"
"395","Late Shuswap",2015,44,0,0,NA,NA,"ascv"
"396","Late Shuswap",2016,76,0,0,NA,NA,"ascv"
"397","Late Stuart",2008,0,0,NA,NA,NA,"ascv"
"398","Late Stuart",2010,0,0,NA,NA,NA,"ascv"
"399","Late Stuart",2011,13,0,0,NA,NA,"ascv"
"400","Late Stuart",2014,7,0,0,NA,NA,"ascv"
"401","Late Stuart",2015,6,0,0,NA,NA,"ascv"
"402","Late Stuart",2016,3,0,0,NA,NA,"ascv"
"403","Nadina",2010,1,0,0,NA,NA,"ascv"
"404","Nadina",2011,3,0,0,NA,NA,"ascv"
"405","Nadina",2012,0,0,NA,NA,NA,"ascv"
"406","Nadina",2014,24,0,0,NA,NA,"ascv"
"407","Nadina",2015,0,0,NA,NA,NA,"ascv"
"408","Nadina",2018,3,0,0,NA,NA,"ascv"
"409","Nahatlatch",2010,1,0,0,NA,NA,"ascv"
"410","Nahatlatch",2011,1,0,0,NA,NA,"ascv"
"411","Nahatlatch",2013,0,0,NA,NA,NA,"ascv"
"412","Nahatlatch",2015,3,0,0,NA,NA,"ascv"
"413","North Thompson",2008,0,0,NA,NA,NA,"ascv"
"414","North Thompson",2009,0,0,NA,NA,NA,"ascv"
"415","North Thompson",2010,1,0,0,NA,NA,"ascv"
"416","North Thompson",2011,3,0,0,NA,NA,"ascv"
"417","North Thompson",2012,0,0,NA,NA,NA,"ascv"
"418","North Thompson",2013,3,0,0,NA,NA,"ascv"
"419","North Thompson",2014,5,0,0,NA,NA,"ascv"
"420","North Thompson",2015,5,0,0,NA,NA,"ascv"
"421","Pitt",2010,5,0,0,NA,NA,"ascv"
"422","Pitt",2011,1,0,0,NA,NA,"ascv"
"423","Pitt",2012,0,0,NA,NA,NA,"ascv"
"424","Pitt",2013,0,0,NA,NA,NA,"ascv"
"425","Pitt",2014,13,0,0,NA,NA,"ascv"
"426","Pitt",2015,4,0,0,NA,NA,"ascv"
