"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"66",130,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"67",132,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"68",135,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,11,0.379310344827586,138.537125479909,52.5485648372069,"fl_psy",2.03222122601153,-0.243396833498457
"69",136,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,4,0.0434782608695652,20.204340258,0.878449576434783,"fl_psy",-0.644272479268427,-0.254817359330987
"70",137,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,13,0.065989847715736,275.243031541615,18.1632457362487,"fl_psy",-0.464861031203296,-0.230203082259446
"71",138,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,5,0.166666666666667,23.3480763816,3.8913460636,"fl_psy",0.337506833754656,-0.254513951281029
"72",139,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,1,0.0434782608695652,825.3783762,35.8860163565217,"fl_psy",-0.644272479268427,-0.17710845676511
"73",140,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"fl_psy",-0.990782825041279,NA
"74",141,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,0,0,NA,NA,"fl_psy",-0.990782825041279,NA
"75",142,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,3,0.125,115.403635676667,14.4254544595833,"fl_psy",0.00543441905567045,-0.245629491315131
"76",145,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,1,0.0333333333333333,5.642916015,0.1880972005,"fl_psy",-0.725124893282093,-0.256222710531111
"77",147,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,3,0.1,10.8869067363333,1.08869067363333,"fl_psy",-0.193809029763719,-0.255716602850249
"78",149,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,3,0.12,29.49032236,3.5388386832,"fl_psy",-0.0344142707082076,-0.253921151249031
"79",150,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,1,0.0105263157894737,2.076427855,0.0218571353157895,"fl_psy",-0.90689084659101,-0.256566919197258
"80",151,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,4,0.0909090909090909,10.80730416525,0.982482196840909,"fl_psy",-0.26626119297077,-0.255724285448252
"81",153,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,1,0.0625,1.861400853,0.1163375533125,"fl_psy",-0.492674202992804,-0.256587671868856
"82",154,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,12,0.413793103448276,362.743045434583,150.100570524655,"fl_psy",2.30703977610725,-0.221758286785923
"83",156,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,1,0.0454545454545455,44159.4467,2007.24757727273,"fl_psy",-0.628522009006025,4.00514623953484
"84",159,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,6,0.315789473684211,876.430318526,276.767469008211,"fl_psy",1.52597652846681,-0.172181335130632
"85",162,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,4,0.0851063829787234,29.21537989325,2.48641531006383,"fl_psy",-0.312507254592292,-0.253947686477945
"86",163,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,5,0.294117647058824,858.8627595994,252.606693999824,"fl_psy",1.35325774930449,-0.173876814199763
"87",165,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,2,0.0909090909090909,142.9224086245,12.9929462385909,"fl_psy",-0.26626119297077,-0.242973601345661
"88",168,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,3,0.103448275862069,562.573635125333,58.1972725991724,"ic_hof",2.88171272152922,1.49918085521365
"89",169,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"90",170,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,6,0.0304568527918782,2.32659616183333,0.0708607968071066,"ic_hof",0.562645323815701,-0.522029752307628
"91",171,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"92",172,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"93",173,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"94",174,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"95",175,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"96",178,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,3,0.1,21.4572638413333,2.14572638413333,"ic_hof",2.77215486125354,-0.453011791026999
"97",180,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"98",182,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"99",183,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,2,0.0210526315789474,1.7418602125,0.0366707413157895,"ic_hof",0.263856481257837,-0.524139311879024
"100",184,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"101",186,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"102",187,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"103",189,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"104",192,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"105",195,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"106",196,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"107",198,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,0,0,NA,NA,"ic_hof",-0.405023086741019,NA
"108",201,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,9,0.310344827586207,411.574631876333,127.730058168517,"ic_mul",-0.609474659053726,4.0797786255344
"109",202,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,17,0.184782608695652,47.2505708669412,8.73108374715217,"ic_mul",-1.29234642266479,0.123521107922782
"110",203,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,90,0.456852791878173,8.27731258435556,3.78151336341117,"ic_mul",0.187310813862501,-0.29969619383628
"111",204,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,6,0.2,10.9592733885,2.1918546777,"ic_mul",-1.20958644176148,-0.270572321084261
"112",205,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,10,0.434782608695652,37.8351143606,16.450049722,"ic_mul",0.06728183503246,0.0212770494827406
"113",206,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,5,0.454545454545455,25.9535990082,11.7970904582727,"ic_mul",0.174762329712088,-0.107746365285187
"114",207,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,22,0.55,14.4855905902273,7.967074824625,"ic_mul",0.693893119014672,-0.232279437270427
"115",208,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,15,0.625,34.3718139302667,21.4823837064167,"ic_mul",1.10178159632385,-0.0163315243931981
